Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction_satisfied,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
1.0,0.0,1.0,0.0,0.0,1.0,0.0,14,529,1,5,1,12,3.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,42,101,5,5,3,3,7.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,43,1786,4,4,3,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,23,2288,2,4,2,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,52,3885,5,5,4,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,38,214,5,4,5,0,2.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,56,1713,4,4,3,7,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,58,846,1,4,1,0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,67,2125,3,3,4,0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,43,558,3,3,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,41,762,1,1,2,33,45.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,45,3136,4,4,3,16,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,44,2306,4,4,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,26,1069,3,3,3,34,67.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,15,763,5,5,5,36,61.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,58,304,3,3,5,0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,57,432,5,5,3,0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,60,332,2,2,1,64,79.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,10,153,4,3,4,1,20.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,34,641,5,5,5,7,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,44,862,5,5,1,13,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,37,600,3,2,3,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,33,483,4,3,4,313,336.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,41,2296,3,5,2,5,10.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,26,3267,3,2,3,30,32.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,52,1549,5,5,3,22,22.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,15,1205,3,3,3,0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,39,1797,1,4,1,0,2.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,28,1814,4,4,4,0,2.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,21,1407,4,5,4,10,24.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,59,2296,1,1,3,5,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,23,1127,4,5,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,35,3946,5,5,1,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,55,964,2,4,2,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,13,371,2,4,2,2,15.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,36,697,5,3,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,47,2751,4,4,5,0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,76,130,3,3,2,0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,54,936,4,4,1,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,57,678,4,4,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,63,594,5,4,5,13,3.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,41,2309,5,5,4,16,15.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,49,821,2,2,2,0,7.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,16,266,2,5,2,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,17,563,5,2,5,4,32.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,56,261,2,5,2,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,51,2172,3,3,3,66,52.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,51,2338,4,4,3,0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,29,541,2,2,2,12,44.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,60,484,1,1,3,0,33.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,35,528,1,3,1,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,51,200,4,4,4,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,44,390,5,5,4,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,58,837,1,1,2,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,32,2765,5,4,5,4,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,40,469,2,4,2,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,41,594,3,3,3,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,9,371,4,3,4,49,38.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,14,368,5,4,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,45,268,3,5,3,0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,37,606,5,4,5,158,169.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,33,1674,5,5,5,0,12.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,41,163,1,2,1,0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,54,526,2,2,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,53,1849,3,3,4,0,6.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,66,564,3,4,3,0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,41,399,4,4,4,0,4.0
